SPECIES_ID,SPECIES
ZX004,Dark-eyed junco
1F132,Common gray fox
UNKB,Unknown bird
Z6007,American robin
N5111,Killdeer
ZT001,Eastern meadowlark
UNKBS,Unknown bird - small
UNKBM,Unknown bird - medium
ZT002,Western meadowlark
K3302,Red-tailed hawk
Q21,Cuckoos
T1002,Chimney swift
Z6016,Gray-cheeked thrush
ZS004,Black-and-white warbler
ZX302,Swamp sparrow
1C2,Microbats
ZX102,Northern cardinal
S5213,Common nighthawk
K5114,American kestrel
K33,Hawks
ZS035,Bay-breasted warbler
YI,Swallows
Q2101,Yellow-billed cuckoo
K5105,Merlin
Z6004,Swainson's thrush
UNKBL,Unknown bird - large
O2205,Mourning dove
YI005,Barn swallow
K3201,Bald eagle
ZS012,American redstart
ZL005,Red-eyed vireo
O22,Doves
Z6015,Eastern bluebird
YI009,Cliff swallow
1C2112,Evening bat
ZX017,American goldfinch
ZX3,Sparrows
ZX310,Grasshopper sparrow
YL001,European starling
O2111,Rock pigeon
ZX018,House finch
ZT104,Brown-headed cowbird
J2109,Mallard
N6,"Sandpipers, curlews, phalaropes, allies"
N5123,Semipalmated plover
ZX005,Rose-breasted grosbeak
ZS042,Cerulean warbler
Z5301,Gray catbird
ZS005,Northern parula
K1002,Turkey vulture
1C2107,Seminole bat
K1001,Black vulture
1C2102,Hoary bat
1C2201,Brazilian free-tailed bat
NE104,Ring-billed gull
NE,"Gulls, terns, kittiwakes"
ZX303,Savannah sparrow
Y9013,Eastern phoebe
1F11,Coyote
R2203,Great horned owl
ZD102,Cedar waxwing
YH004,Horned lark
ZX313,Chipping sparrow
J21,Ducks
E1001,Common loon
Z6014,Hermit thrush
H4105,Double-crested cormorant
YI010,Tree swallow
J2140,Ruddy duck
ZX305,White-throated sparrow
K5102,Peregrine falcon
Z9002,Ruby-crowned kinglet
Y,Perching birds (y)
F1003,Pied-billed grebe
1C2101,Eastern red bat
1F41,Striped skunk
ZS003,Pine warbler
ZV001,Scarlet tanager
ZS015,Cape May warbler
NE114,Laughing gull
YM1102,American crow
ZX309,White-crowned sparrow
ZS006,Ovenbird
K2001,Osprey
ZS,New World wood-warblers
J2107,Blue-winged teal
1F4,Skunks
K3304,Red-shouldered hawk
Z8007,Blue-gray gnatcatcher
ZS024,Magnolia warbler
J2204,Canada goose
NE1,Gulls
R1101,Barn owl
N6017,Pectoral sandpiper
N6011,American woodcock
1D21,Eastern cottontail
1C2105,Big brown bat
T1,Swifts
YI001,Purple martin
X6105,Downy woodpecker
YM11,Crows
2A,Turtles
ZT301,Common grackle
ZX203,Indigo bunting
Y9001,Eastern wood-pewee
1A1,Virginia opossum
Y9,Tyrant (New World) flycatchers
ZT201,Baltimore oriole
ZT101,Red-winged blackbird
Z4009,Sedge wren
ZS023,Palm warbler
L6001,Wild turkey
N6039,Wilson's snipe
NE115,Bonaparte's gull
J2131,Northern shoveler
Z5201,Northern mockingbird
ZS009,Yellow-rumped warbler
ZX315,Song sparrow
Z4007,Winter wren
1F31,Raccoon
ZS030,Black-throated green warbler
Z6018,Wood thrush
ZS014,Yellow warbler
ZS034,Blackburnian warbler
NF101,Black skimmer
T3001,Ruby-throated hummingbird
Z6022,Veery
ZT105,Bobolink
1G11,White-tailed deer
Z4003,House wren
ZS010,Blackpoll warbler
1C21,Vesper bats
2D,Snakes
ZX314,Lincoln's sparrow
ZS016,Hooded warbler
Z9001,Golden-crowned kinglet
NE141,White-headed gull complex
UNKBB,Unknown bird or bat
ZC204,American pipit
M7005,American coot
J22,Geese
ZS008,Common yellowthroat
ZS032,Tennessee warbler
X6102,Yellow-bellied sapsucker
ZV003,Summer tanager
ZS019,Nashville warbler
1C22,Free-tailed bats
ZX210,Lazuli bunting
M7001,Sora
ZS001,Canada warbler
ZS026,Prothonotary warbler
R2009,Barred owl
I1102,Great blue heron
N51,Plovers
Q2104,Black-billed cuckoo
K3311,Cooper's hawk
K3502,Northern harrier
1F131,Red fox
ZL001,White-eyed vireo
Z4001,Marsh wren
N5104,American golden-plover
M7014,Clapper rail
Y9023,Alder flycatcher
ZS002,Yellow-breasted chat
YI003,Bank swallow
YM1110,Fish crow
N6001,Upland sandpiper
ZX029,Blue grosbeak
NE101,Herring gull
ZX307,Field sparrow
K1,New World vultures
X6101,Northern flicker
1F13,Foxes
ZS033,Chestnut-sided warbler
M7,Rails
N6024,Least sandpiper
ZS038,Worm-eating warbler
Z4004,Carolina wren
Y9008,Western kingbird
M7013,Virginia rail
ZT1,Blackbirds
YM201,Blue jay
1C2106,Silver-haired bat
Z6,Thrushes
N6022,Ruddy turnstone
N6020,Buff-breasted sandpiper
K,"Raptors: Hawks, eagles, vultures, kites, osprey, falcons, caracaras"
N6030,Short-billed dowitcher
2A03,Common snapping turtle
ZX002,Lapland longspur
J2114,Wood duck
ZS025,Black-throated blue warbler
Z5101,Brown thrasher
N6028,Semipalmated sandpiper
N5105,Black-bellied plover
Y9006,Acadian flycatcher
ZT202,Orchard oriole
R,Owls
1F81,American black bear
ZX000,Finches
L4101,Northern bobwhite
Z5,"Thrashers, mockingbirds, catbirds"
Z4,Wrens
ZX,"Finches, cardinals, buntings, sparrows"
J2118,Hooded merganser
J2209,Brant
J2202,Snow goose
I13,Egrets
1F12,Domestic dog
